Arrival_Date,State,District,Market,Commodity,Min_Price,Max_Price,Modal_Price,Volatility
2026-12-03,Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Cowpea(Veg),3000,3000,3000,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Garlic,16000,18000,17000,2000
2026-12-03,Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Bitter gourd,3600,3600,3600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Pumpkin,1600,1600,1600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Cabbage,2500,2500,2500,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Thiruverumbur(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),3600,3600,3600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Brinjal,4600,4600,4600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Papaya,4600,4600,4600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Cluster beans,4600,4600,4600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),3600,3600,3600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Thondekai,3600,3600,3600,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Green Avare(W),4600,5600,5100,1000
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Yam(Ratalu),5000,5000,5000,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Amla(Nelli Kai),7000,7000,7000,0
2026-12-03,Tamil Nadu,Thiruchirappalli,Manachanallur(Uzhavar Sandhai ) APMC,Cluster beans,3500,3500,3500,0
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Green Chilli,5600,5600,5600,0
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Banana,5000,5000,5000,0
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Bhindi(Ladies Finger),2500,3000,2750,500
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Banana - Green,4000,4000,4000,0
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Ridgeguard(Tori),3000,3000,3000,0
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Mango(Raw-Ripe),9600,9600,9600,0
2026-12-03,Tamil Nadu,Vellore,Gudiyatham(Uzhavar Sandhai ) APMC,Onion Green,4600,4600,4600,0
2026-12-03,Tamil Nadu,Vellore,Kahithapattarai(Uzhavar Sandhai ) APMC,Banana,4000,5000,4500,1000
2026-12-03,Tamil Nadu,Vellore,Kahithapattarai(Uzhavar Sandhai ) APMC,Potato,2000,2000,2000,0
2026-12-03,Tamil Nadu,Vellore,Kahithapattarai(Uzhavar Sandhai ) APMC,Coriander(Leaves),3500,3500,3500,0
